subject_id,subject_cluster,ref_cluster
599671,0,0
599671,1,1
599671,2,2
599671,3,3
599671,4,4
599671,5,5
599671,6,6
599671,7,7
599671,8,8
599671,9,9
599671,10,10
599671,12,12
599671,13,13
599671,14,14
599671,15,15
191942,7,0
191942,2,1
191942,1,2
191942,15,3
191942,10,4
191942,13,5
191942,4,6
191942,8,7
191942,3,8
191942,11,10
191942,5,12
191942,0,14
191942,9,15
771354,13,0
771354,12,1
771354,1,2
771354,10,3
771354,7,4
771354,3,5
771354,4,6
771354,2,7
771354,5,8
771354,8,9
771354,15,10
771354,14,12
771354,0,13
771354,11,14
771354,9,15
177342,12,0
177342,8,1
177342,10,2
177342,5,3
177342,11,4
177342,2,5
177342,1,6
177342,14,7
177342,6,8
177342,13,9
177342,3,10
177342,15,12
177342,9,13
177342,4,14
177342,0,15
195849,14,0
195849,13,1
195849,8,2
195849,6,3
195849,12,4
195849,15,5
195849,5,6
195849,4,7
195849,9,8
195849,0,9
195849,7,10
195849,3,12
195849,1,13
195849,11,14
195849,10,15
393550,12,0
393550,10,1
393550,5,2
393550,9,3
393550,14,4
393550,0,6
393550,6,7
393550,3,8
393550,4,9
393550,8,10
393550,7,12
393550,11,14
393550,15,15
677766,15,0
677766,10,1
677766,11,2
677766,2,3
677766,8,4
677766,6,5
677766,14,6
677766,12,7
677766,4,8
677766,9,9
677766,0,10
677766,1,12
677766,13,13
677766,5,14
677766,7,15
937160,7,0
937160,12,1
937160,4,2
937160,1,3
937160,8,4
937160,5,5
937160,2,6
937160,11,7
937160,13,8
937160,0,9
937160,10,10
937160,9,12
937160,3,13
937160,15,14
937160,6,15
173132,6,0
173132,0,2
173132,15,3
173132,1,5
173132,7,6
173132,8,8
173132,9,9
173132,5,10
173132,3,12
173132,10,14
173132,2,15
454140,15,0
454140,5,1
454140,1,2
454140,9,3
454140,8,4
454140,13,5
454140,7,6
454140,0,8
454140,12,9
454140,3,10
454140,2,12
454140,4,13
454140,11,14
454140,14,15
211619,0,0
211619,3,1
211619,1,2
211619,4,3
211619,8,4
211619,14,5
211619,7,6
211619,6,7
211619,2,8
211619,11,9
211619,15,10
211619,12,12
211619,13,14
211619,10,15
101410,1,0
101410,6,2
101410,10,3
101410,2,4
101410,4,5
101410,8,6
101410,13,8
101410,15,9
101410,11,10
101410,5,12
101410,0,13
101410,12,14
101410,14,15
622236,1,0
622236,6,1
622236,7,2
622236,14,4
622236,0,5
622236,4,6
622236,9,7
622236,12,8
622236,15,9
622236,3,10
622236,11,12
622236,13,13
622236,8,14
622236,10,15
835657,12,0
835657,1,1
835657,13,2
835657,7,4
835657,11,5
835657,2,6
835657,5,8
835657,14,9
835657,4,10
835657,3,12
835657,6,14
835657,0,15
207426,0,0
207426,3,1
207426,10,2
207426,6,3
207426,15,4
207426,13,5
207426,5,6
207426,4,8
207426,7,9
207426,12,10
207426,8,12
207426,1,13
207426,2,14
207426,14,15
378857,12,0
378857,1,1
378857,15,2
378857,5,3
378857,11,4
378857,14,5
378857,3,6
378857,7,7
378857,4,8
378857,0,9
378857,10,10
378857,2,12
378857,9,13
378857,13,14
378857,6,15
901442,4,0
901442,15,1
901442,0,2
901442,7,3
901442,12,4
901442,6,5
901442,13,6
901442,11,8
901442,10,9
901442,8,10
901442,5,12
901442,2,14
901442,3,15
130518,13,0
130518,4,1
130518,5,2
130518,6,3
130518,12,4
130518,9,5
130518,2,6
130518,15,8
130518,14,9
130518,10,10
130518,7,12
130518,1,13
130518,3,14
130518,11,15
172938,6,0
172938,10,2
172938,11,3
172938,12,5
172938,14,6
172938,3,8
172938,7,9
172938,0,10
172938,9,12
172938,8,13
172938,13,14
172938,15,15
318637,2,0
318637,13,1
318637,1,2
318637,0,3
318637,6,4
318637,8,5
318637,10,6
318637,5,7
318637,3,8
318637,14,9
318637,15,10
318637,9,12
318637,12,13
318637,7,14
318637,4,15
117324,7,0
117324,5,1
117324,1,2
117324,3,4
117324,9,5
117324,2,6
117324,12,7
