subject_id,subject_cluster,ref_cluster
599671,0,0
599671,2,2
599671,3,3
599671,4,4
599671,5,5
599671,6,6
599671,7,7
599671,8,8
599671,9,9
599671,10,10
599671,11,11
599671,12,12
599671,13,13
599671,14,14
599671,16,16
599671,17,17
599671,19,19
191942,11,0
191942,19,2
191942,18,3
191942,5,4
191942,13,5
191942,10,6
191942,1,7
191942,0,8
191942,2,9
191942,17,10
191942,6,11
191942,16,12
191942,3,13
191942,4,14
191942,9,16
191942,7,17
191942,8,19
771354,15,0
771354,13,2
771354,16,3
771354,18,4
771354,5,5
771354,17,6
771354,0,7
771354,9,8
771354,3,9
771354,7,10
771354,10,11
771354,8,12
771354,14,13
771354,12,14
771354,2,16
771354,6,17
771354,1,19
195849,8,0
195849,18,2
195849,3,3
195849,13,4
195849,6,5
195849,17,6
195849,7,7
195849,0,8
195849,10,9
195849,9,10
195849,16,11
195849,11,12
195849,4,13
195849,1,14
195849,15,16
195849,14,17
195849,2,19
177342,8,0
177342,5,2
177342,12,3
177342,2,4
177342,14,5
177342,19,6
177342,9,7
177342,0,8
177342,3,9
177342,15,10
177342,1,11
177342,11,12
177342,4,13
177342,13,14
177342,16,16
177342,17,17
177342,18,19
393550,15,0
393550,0,2
393550,9,3
393550,18,4
393550,13,5
393550,6,6
393550,17,7
393550,12,8
393550,10,9
393550,2,10
393550,11,11
393550,5,12
393550,8,13
393550,16,14
393550,4,16
393550,14,17
393550,7,19
677766,13,0
677766,3,2
677766,0,3
677766,16,4
677766,4,5
677766,15,6
677766,9,7
677766,1,8
677766,5,9
677766,10,10
677766,12,11
677766,2,12
677766,6,13
677766,19,14
677766,18,16
677766,14,17
677766,7,19
937160,13,0
937160,8,2
937160,11,3
937160,0,5
937160,10,6
937160,1,8
937160,9,9
937160,3,10
937160,15,11
937160,5,12
937160,18,13
937160,7,14
937160,19,16
937160,14,17
937160,2,19
173132,18,0
173132,11,2
173132,7,3
173132,17,4
173132,9,5
173132,14,6
173132,3,7
173132,2,8
173132,10,9
173132,13,11
173132,0,12
173132,1,13
173132,19,14
173132,16,16
173132,4,17
173132,6,19
101410,11,0
101410,7,2
101410,9,3
101410,17,4
101410,1,5
101410,16,6
101410,19,7
101410,18,8
101410,4,9
101410,2,10
101410,0,11
101410,8,12
101410,10,13
101410,14,14
101410,12,16
101410,5,17
101410,13,19
211619,0,0
211619,12,2
211619,14,3
211619,11,4
211619,15,5
211619,17,6
211619,3,7
211619,5,8
211619,6,9
211619,19,10
211619,9,11
211619,10,12
211619,4,13
211619,7,14
211619,16,16
211619,13,17
211619,18,19
454140,15,2
454140,13,3
454140,7,4
454140,4,5
454140,18,6
454140,5,7
454140,6,8
454140,1,9
454140,12,10
454140,11,11
454140,16,12
454140,0,13
454140,14,14
454140,3,16
454140,2,17
622236,16,0
622236,0,2
622236,1,3
622236,11,4
622236,13,5
622236,14,6
622236,10,7
622236,15,8
622236,2,9
622236,12,10
622236,5,11
622236,4,12
622236,6,13
622236,7,14
622236,19,16
622236,8,17
622236,17,19
378857,17,0
378857,14,2
378857,12,3
378857,15,4
378857,19,5
378857,4,6
378857,9,7
378857,13,8
378857,7,9
378857,5,10
378857,2,11
378857,18,12
378857,6,13
378857,11,14
378857,10,16
378857,0,17
378857,8,19
835657,12,0
835657,10,2
835657,18,3
835657,6,4
835657,5,5
835657,0,6
835657,15,7
835657,1,8
835657,3,9
835657,19,10
835657,4,11
835657,9,12
835657,2,13
835657,16,14
835657,11,16
835657,8,17
835657,13,19
207426,16,0
207426,11,2
207426,10,3
207426,17,4
207426,15,5
207426,9,6
207426,18,7
207426,19,8
207426,7,9
207426,3,10
207426,14,11
207426,2,12
207426,4,13
207426,8,14
207426,0,16
207426,6,17
207426,13,19
901442,0,0
901442,4,2
901442,8,3
901442,5,4
901442,3,5
901442,17,6
901442,19,7
901442,2,8
901442,10,9
901442,15,10
901442,11,11
901442,9,12
901442,12,13
901442,7,14
901442,14,16
901442,1,17
901442,16,19
130518,3,0
130518,7,2
130518,17,3
130518,16,4
130518,4,5
130518,12,6
130518,1,7
130518,8,8
130518,10,9
130518,19,10
130518,5,11
130518,6,12
130518,0,13
130518,9,14
130518,15,16
130518,2,17
130518,18,19
318637,5,0
318637,15,2
318637,0,3
318637,1,4
318637,13,5
318637,7,6
318637,8,7
318637,19,8
318637,6,9
318637,4,10
318637,2,11
318637,16,12
318637,14,13
318637,10,14
318637,12,16
318637,9,17
318637,18,19
172938,11,0
172938,2,2
172938,9,3
172938,6,4
172938,3,5
172938,1,6
172938,12,7
172938,14,8
172938,16,9
172938,0,10
172938,19,11
172938,13,12
172938,5,13
172938,7,14
172938,4,16
172938,15,17
172938,18,19
117324,18,0
117324,3,2
117324,17,3
117324,11,4
117324,10,5
117324,5,6
117324,4,7
117324,0,8
117324,2,9
117324,8,10
117324,16,11
117324,6,12
117324,14,13
117324,13,14
117324,7,16
117324,12,17
117324,9,19
352132,12,0
352132,11,2
352132,5,3
352132,14,4
352132,6,5
352132,15,6
352132,7,7
352132,8,8
352132,2,9
352132,19,10
352132,16,11
352132,4,12
352132,10,13
352132,0,14
352132,3,16
352132,1,17
352132,17,19
397861,3,2
397861,4,3
397861,19,4
397861,11,5
397861,10,6
397861,8,7
397861,2,8
397861,9,9
397861,12,10
397861,1,11
397861,17,12
397861,7,13
397861,5,14
397861,6,16
397861,18,17
397861,14,19
120212,0,0
120212,17,2
120212,12,3
120212,10,4
120212,15,5
120212,5,6
120212,1,7
120212,2,8
120212,18,9
120212,16,10
120212,11,11
120212,13,12
120212,7,13
120212,6,14
120212,19,16
120212,3,17
120212,8,19
597869,19,0
597869,12,2
597869,5,3
597869,17,4
597869,3,5
597869,7,6
597869,13,7
597869,9,8
597869,15,9
597869,0,10
597869,4,11
597869,2,12
597869,6,13
597869,11,14
597869,1,16
597869,16,17
597869,18,19
109123,14,0
109123,0,2
109123,2,3
109123,6,4
109123,11,5
109123,5,6
109123,17,7
109123,1,8
109123,19,9
109123,8,10
109123,9,11
109123,16,12
109123,4,13
109123,3,14
109123,15,16
109123,12,17
109123,13,19
160931,1,0
160931,7,2
160931,12,3
160931,5,4
160931,3,5
160931,6,6
160931,18,7
160931,10,8
160931,2,9
160931,17,10
160931,19,11
160931,14,12
160931,8,13
160931,4,14
160931,11,16
160931,0,17
160931,15,19
131823,18,0
131823,6,2
131823,9,3
131823,19,4
131823,13,5
131823,10,6
131823,3,7
131823,8,8
131823,16,9
131823,12,10
131823,11,11
131823,2,12
131823,17,13
131823,4,14
131823,7,16
131823,0,17
131823,5,19
198451,8,0
198451,6,2
198451,12,3
198451,11,5
198451,5,6
198451,1,7
198451,16,8
198451,7,9
198451,18,10
198451,9,11
198451,4,12
198451,19,13
198451,14,14
198451,17,16
198451,3,17
198451,15,19
192540,5,0
192540,17,2
192540,11,3
192540,12,4
192540,2,5
192540,16,6
192540,14,7
192540,9,8
192540,18,9
192540,6,10
192540,7,11
192540,8,12
192540,19,13
192540,1,14
192540,4,16
192540,13,17
192540,15,19
239944,9,0
239944,2,2
239944,16,3
239944,17,4
239944,14,5
239944,6,6
239944,10,7
239944,8,8
239944,13,9
239944,0,10
239944,11,11
239944,3,12
239944,5,13
239944,7,14
239944,4,16
239944,15,17
239944,1,19
285446,14,0
285446,15,2
285446,13,3
285446,3,4
285446,18,5
285446,8,6
285446,0,7
285446,19,8
285446,12,9
285446,4,10
285446,2,11
285446,1,12
285446,6,13
285446,7,14
285446,9,16
285446,10,17
285446,11,19
156536,5,0
156536,16,2
156536,18,3
156536,13,4
156536,14,5
156536,12,6
156536,11,7
156536,1,8
156536,3,9
156536,19,10
156536,0,11
156536,6,12
156536,10,13
156536,7,14
156536,9,16
156536,15,17
156536,4,19
152427,6,0
152427,15,2
152427,9,3
152427,0,4
152427,2,5
152427,16,6
152427,13,7
152427,19,8
152427,18,9
152427,5,10
152427,4,11
152427,7,12
152427,17,13
152427,3,14
152427,8,16
152427,12,17
152427,11,19
214423,12,0
214423,4,2
214423,18,3
214423,2,4
214423,1,5
214423,14,6
214423,15,7
214423,6,8
214423,13,9
214423,3,10
214423,9,11
214423,16,12
214423,11,13
214423,0,14
214423,10,16
214423,7,17
214423,5,19
211720,19,0
211720,16,2
211720,15,3
211720,7,4
211720,11,5
211720,9,6
211720,13,7
211720,8,8
211720,14,9
211720,3,10
211720,18,11
211720,0,12
211720,5,13
211720,4,14
211720,2,16
211720,6,17
211720,12,19
146432,18,0
146432,5,2
146432,1,3
146432,2,4
146432,13,5
146432,9,6
146432,12,7
146432,6,8
146432,10,9
146432,7,10
146432,15,11
146432,16,12
146432,4,13
146432,17,14
146432,11,16
146432,0,17
146432,8,19
